file,folder_year,error,survey_date,n_sites,n_parameters,unmatched_rows,unknown_sites,status
150428.pdf,2015,NA,2015-04-28,11,18,0,0,ok
150512.pdf,2015,NA,2015-05-12,11,19,11,0,check
150528.pdf,2015,NA,2015-05-28,11,18,0,0,ok
150608.pdf,2015,NA,2015-06-08,11,18,0,0,ok
150626.pdf,2015,NA,2015-06-26,11,18,0,0,ok
150710.pdf,2015,NA,2015-07-10,11,18,0,0,ok
150724.pdf,2015,NA,2015-07-24,11,18,0,0,ok
150807.pdf,2015,NA,2015-08-07,11,18,0,0,ok
150818.pdf,2015,NA,2015-08-18,11,18,0,0,ok
150903.pdf,2015,NA,2015-09-03,11,18,0,0,ok
150916.pdf,2015,NA,2015-09-16,11,18,0,0,ok
151001.pdf,2015,NA,2015-10-01,11,18,0,0,ok
151015.pdf,2015,NA,2015-10-15,11,18,0,0,ok
151029.pdf,2015,NA,2015-10-29,11,18,0,0,ok
151110.pdf,2015,NA,2015-11-10,11,18,0,0,ok
160414.pdf,2016,NA,2016-04-14,11,18,0,0,ok
160428.pdf,2016,NA,2016-04-28,11,18,0,0,ok
160512.pdf,2016,NA,2016-05-12,11,18,0,0,ok
160525.pdf,2016,NA,2016-05-25,11,18,0,0,ok
160608.pdf,2016,NA,2016-06-08,11,17,0,0,ok
160622.pdf,2016,NA,2016-06-22,11,17,0,0,ok
160706.pdf,2016,NA,2016-07-06,11,17,0,0,ok
160721.pdf,2016,NA,2016-07-21,11,17,0,0,ok
160804.pdf,2016,NA,2016-08-04,11,17,0,0,ok
160818.pdf,2016,NA,2016-08-18,11,17,0,0,ok
160831.pdf,2016,NA,2016-08-31,11,17,0,0,ok
160915.pdf,2016,NA,2016-09-15,11,17,0,0,ok
160929.pdf,2016,NA,2016-09-29,11,17,0,0,ok
161013.pdf,2016,NA,2016-10-13,11,17,0,0,ok
161026.pdf,2016,NA,2016-10-26,11,17,0,0,ok
170504.pdf,2017,NA,2017-05-04,11,17,0,0,ok
170518.pdf,2017,NA,2017-05-18,11,17,0,0,ok
170601.pdf,2017,NA,2017-06-01,11,17,0,0,ok
170615.pdf,2017,NA,2017-06-15,11,17,0,0,ok
170629.pdf,2017,NA,2017-06-29,11,17,0,0,ok
170713.pdf,2017,NA,2017-07-13,11,17,0,0,ok
170727.pdf,2017,NA,2017-07-27,11,17,0,0,ok
170810.pdf,2017,NA,2017-08-10,11,17,0,0,ok
170824.pdf,2017,NA,2017-08-24,11,17,0,0,ok
170907.pdf,2017,NA,2017-09-07,11,17,0,0,ok
170921.pdf,2017,NA,2017-09-21,11,17,0,0,ok
171005.pdf,2017,NA,2017-10-05,11,17,0,0,ok
171019.pdf,2017,NA,2017-10-19,11,17,0,0,ok
171102.pdf,2017,NA,2017-11-02,11,17,0,0,ok
180510.pdf,2018,NA,2018-05-10,11,17,0,0,ok
180524.pdf,2018,NA,2018-05-24,11,17,0,0,ok
180605.pdf,2018,NA,2018-06-05,11,17,0,0,ok
180621.pdf,2018,NA,2018-06-21,11,17,0,0,ok
180705.pdf,2018,NA,2018-07-05,11,17,0,0,ok
180719.pdf,2018,NA,2018-07-19,11,17,0,0,ok
180802.pdf,2018,NA,2018-08-02,11,17,0,0,ok
180816.pdf,2018,NA,2018-08-16,11,17,0,0,ok
180830.pdf,2018,NA,2018-08-30,11,17,0,0,ok
180913.pdf,2018,NA,2018-09-13,11,17,0,0,ok
180920.pdf,2018,NA,2018-09-20,11,17,0,0,ok
181011.pdf,2018,NA,2018-10-11,11,17,0,0,ok
181025.pdf,2018,NA,2018-10-25,11,17,0,0,ok
181108.pdf,2018,NA,2018-11-08,11,17,0,0,ok
20190502.pdf,2019,NA,2019-05-02,11,17,0,0,ok
20190516.pdf,2019,NA,2019-05-16,11,16,0,0,ok
20190529.pdf,2019,NA,2019-05-29,11,17,0,0,ok
20190613.pdf,2019,NA,2019-06-13,11,16,0,0,ok
20190627.pdf,2019,NA,2019-06-27,11,17,0,0,ok
20190711.pdf,2019,NA,2019-07-11,11,17,0,0,ok
20190725.pdf,2019,NA,2019-07-25,11,17,0,0,ok
20190808.pdf,2019,NA,2019-08-08,11,17,0,0,ok
20190822.pdf,2019,NA,2019-08-22,11,16,0,0,ok
20190905.pdf,2019,NA,2019-09-05,11,16,0,0,ok
20190919.pdf,2019,NA,2019-09-19,11,17,0,0,ok
20191003.pdf,2019,NA,2019-10-03,11,16,0,0,ok
20191017.pdf,2019,NA,2019-10-17,11,17,0,0,ok
20191031.pdf,2019,NA,2019-10-31,11,16,0,0,ok
20200509.pdf,2020,NA,2020-05-09,11,17,0,0,ok
20200523.pdf,2020,NA,2020-05-23,11,17,0,0,ok
20200606.pdf,2020,NA,2020-06-06,11,17,0,0,ok
20200620.pdf,2020,NA,2020-06-20,11,17,0,0,ok
20200704.pdf,2020,NA,2020-07-04,11,17,0,0,ok
20200716.pdf,2020,NA,2020-07-16,11,17,0,0,ok
20200730.pdf,2020,NA,2020-07-30,11,17,0,0,ok
20200813.pdf,2020,NA,2020-08-13,11,17,0,0,ok
