survey_date,site_id,parameter,value,qualifier,unit,value_raw,label_raw,header_name,source_file,site_name,river,river_order
2015-04-28,R1,ammonia,0.038,,mg/L N,0.038,Ammonia Nitrogen,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,bod,3,<,mg/L,<3,Biochemical Oxygen Demand,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,chlorophyll_a,19,,ug/L,19,Chlorophyll a,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,dissolved_oxygen,10.2,,mg/L,10.2,Dissolved Oxygen,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,e_coli,4,,MPN/100 mL,4,3 Escherichia Coliform,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,fecal_coliform,4,,MPN/100 mL,4,3 Fecal Coliform,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,nitrate,0.256,,mg/L N,0.256,Nitrate Nitrogen,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,oxygen_saturation,94,,%,94,2 Oxygen Saturation,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,ph,8.34,,units,8.34,pH,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,soluble_phosphorus,0.07,,mg/L P,0.07,Soluble Phosphorus,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,temperature,11.3,,°C,11.3,Temperature,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,tkn,0.8,,mg/L N,0.8,Total Kjeldahl Nitrogen,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,total_nitrogen,1.1,,mg/L N,1.1,2 Total Nitrogen,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,total_organic_carbon,17,,mg/L,17,Total Organic Carbon,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,total_phosphorus,0.4,,mg/L P,0.40,Total Phosphorus,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,total_solids,1060,,mg/L,1060,Total Solids,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,total_suspended_solids,199,,mg/L,199,Total Suspended Solids,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R1,turbidity,113,,n.t.u.,113,Turbidity,2015 Assiniboine HEADINGLY BRIDGE (R1),150428.pdf,Headingley Bridge,Assiniboine,1
2015-04-28,R2,ammonia,0.017,,mg/L N,0.017,Ammonia Nitrogen,Water RIVERS River WEST PERIMETER BRIDGE (R2),150428.pdf,West Perimeter Bridge,Assiniboine,2
2015-04-28,R2,bod,3,<,mg/L,<3,Biochemical Oxygen Demand,Water RIVERS River WEST PERIMETER BRIDGE (R2),150428.pdf,West Perimeter Bridge,Assiniboine,2
2015-04-28,R2,chlorophyll_a,12,,ug/L,12,Chlorophyll a,Water RIVERS River WEST PERIMETER BRIDGE (R2),150428.pdf,West Perimeter Bridge,Assiniboine,2
